,node,job,start_time,end_time,completed_time
26,worker-4,job22-tf-cnn,23,54.75,31.75
18,worker-7,job39-tf-birnn,37,699.3499999046326,662.3499999046326
33,worker-2,job59-tf-cnn,50,82.41000008583069,32.41000008583069
36,worker-4,job2-tf-drnn,54,475.1600000858307,421.1600000858307
43,worker-1,job35-torch-vae,79,654.75,575.75
24,worker-2,job57-torch-vae,99,713.1900000572205,614.1900000572205
9,worker-6,job9-tf-drnn,133,546.5699999332428,413.5699999332428
40,worker-5,job23-tf-cnn,135,181.78999996185303,46.78999996185303
38,worker-3,job16-torch-vae,147,845.4100000858307,698.4100000858307
21,worker-5,job45-torch-vae,156,832.789999961853,676.789999961853
6,worker-1,job32-torch-vae,175,1191.5999999046326,1016.5999999046326
44,worker-2,job17-torch-vae,177,958.5599999427795,781.5599999427795
37,worker-4,job15-tf-drnn,206,631.5599999427795,425.55999994277954
50,worker-3,job11-torch-vae,240,1424.4500000476837,1184.4500000476837
5,worker-6,job4-torch-lenet,287,565.579999923706,278.57999992370605
16,worker-5,job24-tf-cnn,376,416.62999987602234,40.62999987602234
1,worker-7,job25-tf-birnn,394,1110.3499999046326,716.3499999046326
11,worker-5,job43-tf-birnn,454,1178.2599999904633,724.2599999904633
25,worker-6,job54-tf-drnn,456,918.7599999904633,462.75999999046326
49,worker-4,job21-tf-drnn,466,937.3899998664856,471.3899998664856
0,worker-1,job19-tf-cnn,508,554.75,46.75
48,worker-2,job37-tf-drnn,514,1001.8799998760223,487.87999987602234
54,worker-3,job7-tf-drnn,532,1055.6600000858307,523.6600000858307
22,worker-4,job36-torch-vae,534,1702.5099999904633,1168.5099999904633
30,worker-1,job55-tf-birnn,550,1321.0999999046326,771.0999999046326
17,worker-6,job49-torch-lenet,552,992.2300000190735,440.2300000190735
45,worker-5,job29-torch-lenet,554,1234.7200000286102,680.7200000286102
19,worker-6,job53-torch-vae,574,1667.4100000858307,1093.4100000858307
59,worker-7,job20-torch-vae,575,1607.5299999713898,1032.5299999713898
2,worker-2,job46-tf-drnn,601,1110.1800000667572,509.1800000667572
46,worker-3,job13-tf-cnn,614,668.2699999809265,54.269999980926514
35,worker-4,job38-tf-birnn,628,1361.0199999809265,733.0199999809265
56,worker-1,job6-tf-birnn,651,1419.1800000667572,768.1800000667572
27,worker-3,job48-tf-birnn,666,1424.4500000476837,758.4500000476837
53,worker-5,job18-tf-cnn,673,733.6199998855591,60.61999988555908
58,worker-2,job27-tf-cnn,736,794.5499999523163,58.549999952316284
12,worker-7,job14-torch-lenet,748,1396.3599998950958,648.3599998950958
28,worker-7,job58-torch-vae,761,1678.8499999046326,917.8499999046326
41,worker-6,job50-tf-drnn,778,1276.5899999141693,498.5899999141693
7,worker-5,job34-tf-cnn,830,887.3699998855591,57.36999988555908
47,worker-5,job52-torch-vae,880,1587.369999885559,707.3699998855591
3,worker-2,job33-tf-cnn,883,944.210000038147,61.21000003814697
55,worker-5,job41-tf-drnn,893,1383.539999961853,490.539999961853
32,worker-1,job31-torch-vae,894,1676.3499999046326,782.3499999046326
52,worker-4,job3-tf-drnn,897,1433.789999961853,536.789999961853
20,worker-3,job26-tf-cnn,922,988.2200000286102,66.22000002861023
51,worker-2,job47-torch-lenet,963,2049.109999895096,1086.1099998950958
4,worker-2,job44-tf-birnn,969,1851.9700000286102,882.9700000286102
23,worker-6,job51-tf-cnn,982,1038.829999923706,56.829999923706055
13,worker-3,job10-torch-lenet,983,1595.6499998569489,612.6499998569489
34,worker-6,job8-tf-cnn,1021,1078.7699999809265,57.769999980926514
29,worker-3,job5-tf-cnn,1047,1113.2300000190735,66.23000001907349
31,worker-2,job12-tf-cnn,1049,1116.3199999332428,67.3199999332428
14,worker-4,job42-tf-drnn,1057,1582.579999923706,525.579999923706
8,worker-6,job60-torch-lenet,1077,1599.6900000572205,522.6900000572205
39,worker-6,job28-torch-vae,1085,1843.9500000476837,758.9500000476837
42,worker-2,job40-tf-birnn,1105,1990.1800000667572,885.1800000667572
10,worker-3,job56-torch-vae,1126,1827.2300000190735,701.2300000190735
15,worker-2,job30-tf-birnn,1147,2026.4900000095367,879.4900000095367
57,worker-4,job1-torch-vae,1179,1891.960000038147,712.960000038147
